Company Name,Top Parent Company,Company Type,Company Category
AGENCY FOR INTEGRATED CARE PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SIMPLYGO PTE. LTD.,LAND TRANSPORT AUTHORITY OF SINGAPORE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING ADVANCED MATERIAL ENGINEERING PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
MCC ENGINEERING (SINGAPORE) PTE. LTD.,"CENTRAL RESEARCH INSTITUTE OF BUILDING AND CONSTRUCTION CO. LTD., MCC GROUP",PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
NATIONAL HERITAGE BOARD,NATIONAL HERITAGE BOARD,,Govt & Related Agencies
NATIONAL HEALTHCARE GROUP PTE LTD,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CUSCADEN PEAK INVESTMENTS PRIVATE LIMITED,CUSCADEN PEAK PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING LAND SYSTEMS LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
NCS COMMUNICATIONS ENGINEERING PTE. LTD.,SINGAPORE TELECOMMUNICATIONS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SINGHEALTH POLYCLINICS,MINISTER FOR FINANCE,SOLE PROPRIETOR,Govt & Related Agencies
SMRT BUSES LTD.,TEMASEK HOLDINGS (PRIVATE) LIMITED,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
SP POWERASSETS LIMITED,TEMASEK HOLDINGS (PRIVATE) LIMITED,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
STARHUB LTD.,STARHUB LTD.,PUBLIC COMPANY LIMITED BY SHARES,Govt & Related Agencies
SINGHEALTH COMMUNITY HOSPITALS,MINISTRY OF HEALTH,SOLE PROPRIETOR,Govt & Related Agencies
